"codice","nome","cognome","cf","indirizzo","tel","email","dataNas"
"56","Martina","Rossi","RSSMRT02A69I050E","Via Guglielmo d'Alzano, 143, 24076 Albino (BG)","320981721","martina.rossi26@gmail.com","2002-01-29"
"57","Chiara","Bianchi","BNCCHR80B43G453R","Via Roma, 121, 24044 Albino (BG)","385649255","chiara.bianchi78@gmail.com","1980-02-03"
"58","Aurora","Bianchi","BNCRRX98P46T971V","Via Donizetti, 90, 24041 Treviglio (BG)","329657165","aurora.bianchi78@gmail.com","1998-09-06"
"59","Alice","Gallo","GLLLCX73E52M823G","Via Leopardi, 97, 24087 Treviglio (BG)","335178583","alice.gallo01@gmail.com","1973-05-12"
"60","Davide","Costa","CSTDVD55P26H085P","Via Carducci, 148, 24016 Seriate (BG)","375349440","davide.costa93@gmail.com","1955-09-26"
"61","Matteo","Leone","LNXMTT66T22D906U","Via Roma, 1, 24087 Stezzano (BG)","397524179","matteo.leone24@gmail.com","1966-12-22"
"62","Francesco","Bianchi","BNCFRN64E30T010J","Via Giovanni Paolo II, 113, 24001 Bergamo (BG)","370876224","francesco.bianchi48@gmail.com","1964-05-30"
"63","Matteo","Fontana","FNTMTT59B02Z248P","Via Cavour, 110, 24030 Seriate (BG)","360855820","matteo.fontana57@gmail.com","1959-02-02"
"64","Aurora","Colombo","CLMRRX63M47Q651G","Via San Bernardino, 14, 24024 Albino (BG)","370030449","aurora.colombo68@gmail.com","1963-08-07"
"65","Sara","Costa","CSTSRX69M57G609W","Via Cavour, 26, 24013 Albino (BG)","377864862","sara.costa45@gmail.com","1969-08-17"
"66","Christian","Greco","GRCCHR00T17Y183I","Via Garibaldi, 41, 24037 Stezzano (BG)","368820406","christian.greco65@gmail.com","2000-12-17"
"67","Giuseppe","Ricci","RCCGSP62E25I686M","Via Roma, 72, 24003 Osio Sotto (BG)","342176731","giuseppe.ricci09@gmail.com","1962-05-25"
"68","Valentina","Costa","CSTVLN56M63D868Q","Via Roma, 144, 24026 Clusone (BG)","347802995","valentina.costa94@gmail.com","1956-08-23"
"69","Christian","Fontana","FNTCHR82T10M434S","Via San Bernardino, 28, 24094 Seriate (BG)","379449950","christian.fontana53@gmail.com","1982-12-10"
"70","Francesco","Greco","GRCFRN68L29Z921F","Via Garibaldi, 76, 24061 Bergamo (BG)","396488654","francesco.greco67@gmail.com","1968-07-29"
"71","Francesco","Greco","GRCFRN93H28M287L","Via Leopardi, 64, 24087 Dalmine (BG)","330596367","francesco.greco46@gmail.com","1993-06-28"
"72","Maria","Ricci","RCCMRX80A42S771O","Via Garibaldi, 27, 24094 Stezzano (BG)","349771856","maria.ricci69@gmail.com","1980-01-02"
"73","Chiara","Colombo","CLMCHR53M45V385P","Via Donizetti, 51, 24039 Treviglio (BG)","393012298","chiara.colombo84@gmail.com","1953-08-05"
"74","Francesco","Mancini","MNCFRN71D07U590M","Via Palma il Vecchio, 118, 24087 Bergamo (BG)","389656491","francesco.mancini82@gmail.com","1971-04-07"
"75","Alessandro","Conti","CNTLSS50L04V995C","Via Roma, 109, 24046 Stezzano (BG)","381916728","alessandro.conti60@gmail.com","1950-07-04"
"76","Sara","Greco","GRCSRX65A65B977A","Via Guglielmo d'Alzano, 58, 24030 Albino (BG)","386092623","sara.greco96@gmail.com","1965-01-25"
"77","Marco","Rizzo","RZZMRC00H07E490J","Via Leopardi, 125, 24071 Bergamo (BG)","326045446","marco.rizzo29@gmail.com","2000-06-07"
"78","Emma","Conti","CNTMMX02T71I468N","Via Giovanni Paolo II, 89, 24046 Clusone (BG)","326497791","emma.conti58@gmail.com","2002-12-31"
"79","Christian","Bruno","BRNCHR71S15P920I","Via San Bernardino, 15, 24024 Clusone (BG)","348701323","christian.bruno04@gmail.com","1971-11-15"
"80","Andrea","Romano","RMNNDR51H24V255A","Viale Vittorio Emanuele II, 59, 24033 Bergamo (BG)","393270340","andrea.romano96@gmail.com","1951-06-24"
"81","Matteo","Rizzo","RZZMTT82S12D550N","Via Verdi, 44, 24052 Bergamo (BG)","383581728","matteo.rizzo19@gmail.com","1982-11-12"
"82","Marco","Rizzo","RZZMRC89A12K015X","Via Leopardi, 140, 24098 Osio Sotto (BG)","390143057","marco.rizzo92@gmail.com","1989-01-12"
"83","Federico","Greco","GRCFDR56M21T398Z","Via Guglielmo d'Alzano, 56, 24055 Seriate (BG)","331352594","federico.greco78@gmail.com","1956-08-21"
"84","Christian","Russo","RSSCHR91L31R203R","Via Verdi, 117, 24016 Osio Sotto (BG)","327725911","christian.russo80@gmail.com","1991-07-31"
"85","Emma","Costa","CSTMMX02S61O760F","Via Guglielmo d'Alzano, 126, 24053 Seriate (BG)","324191185","emma.costa97@gmail.com","2002-11-21"
"86","Riccardo","Colombo","CLMRCC64H17R411B","Via Palma il Vecchio, 79, 24029 Clusone (BG)","390500877","riccardo.colombo45@gmail.com","1964-06-17"
"87","Christian","Bruno","BRNCHR76H15Q988F","Via Giovanni Paolo II, 37, 24096 Dalmine (BG)","354203124","christian.bruno71@gmail.com","1976-06-15"
"88","Vittoria","Leone","LNXVTT99B60N733H","Via Guglielmo d'Alzano, 20, 24033 Clusone (BG)","352910263","vittoria.leone90@gmail.com","1999-02-20"
"89","Martina","Fontana","FNTMRT03B44Y969V","Via Garibaldi, 68, 24067 Stezzano (BG)","356762160","martina.fontana50@gmail.com","2003-02-04"
"90","Giovanni","De Luca","DLCGVN69E18K370T","Via Palma il Vecchio, 45, 24016 Clusone (BG)","377913156","giovanni.deluca74@gmail.com","1969-05-18"
"91","Francesca","Mancini","MNCFRN67B50I191Q","Via Carducci, 143, 24001 Albino (BG)","399962931","francesca.mancini43@gmail.com","1967-02-10"
"92","Marco","Ricci","RCCMRC87D01S859F","Via Guglielmo d'Alzano, 99, 24058 Albino (BG)","332852498","marco.ricci64@gmail.com","1987-04-01"
"93","Greta","Russo","RSSGRT76L69K685B","Viale Vittorio Emanuele II, 85, 24053 Dalmine (BG)","380663911","greta.russo52@gmail.com","1976-07-29"
"94","Maria","Bianchi","BNCMRX66M61O091K","Via Cavour, 146, 24068 Albino (BG)","391637149","maria.bianchi21@gmail.com","1966-08-21"
"95","Antonio","Caruso","CRSNTN92P19R884C","Via Leopardi, 64, 24082 Albino (BG)","342981224","antonio.caruso35@gmail.com","1992-09-19"
"96","Luca","Russo","RSSLCX95C30O603N","Via Garibaldi, 84, 24017 Stezzano (BG)","338872391","luca.russo01@gmail.com","1995-03-30"
"97","Andrea","Conti","CNTNDR76R27G763Y","Via Giovanni Paolo II, 83, 24082 Albino (BG)","331499171","andrea.conti25@gmail.com","1976-10-27"
"98","Alice","Ferrari","FRRLCX03D64L993I","Via Guglielmo d'Alzano, 68, 24098 Osio Sotto (BG)","323561036","alice.ferrari68@gmail.com","2003-04-24"
"99","Greta","Greco","GRCGRT69R64G673N","Via Crescenzi, 72, 24037 Bergamo (BG)","374320951","greta.greco12@gmail.com","1969-10-24"
"100","Anna","Costa","CSTNNX53D53C909O","Viale Vittorio Emanuele II, 128, 24022 Stezzano (BG)","398236326","anna.costa20@gmail.com","1953-04-13"
"101","Sara","Romano","RMNSRX58B60A739H","Via Verdi, 120, 24014 Clusone (BG)","362100584","sara.romano21@gmail.com","1958-02-20"
"102","Giovanni","Russo","RSSGVN91S12K762P","Via Crescenzi, 57, 24044 Clusone (BG)","399589470","giovanni.russo18@gmail.com","1991-11-12"
"103","Lorenzo","Costa","CSTLRN54M22M135Y","Via Leopardi, 113, 24020 Albino (BG)","363313383","lorenzo.costa44@gmail.com","1954-08-22"
"104","Lorenzo","Rossi","RSSLRN98B25H942C","Via Carducci, 68, 24037 Stezzano (BG)","355939243","lorenzo.rossi47@gmail.com","1998-02-25"
"105","Matteo","Fontana","FNTMTT68L04G566J","Via Garibaldi, 70, 24087 Stezzano (BG)","374470588","matteo.fontana80@gmail.com","1968-07-04"
"106","Alessandro","Costa","CSTLSS85M05O565C","Via Roma, 99, 24006 Dalmine (BG)","385477575","alessandro.costa07@gmail.com","1985-08-05"
"107","Marco","Ricci","RCCMRC52T31E913X","Via Carducci, 94, 24020 Clusone (BG)","340122996","marco.ricci21@gmail.com","1952-12-31"
"108","Martina","Rossi","RSSMRT80B68Y124V","Via Garibaldi, 68, 24012 Treviglio (BG)","354724771","martina.rossi08@gmail.com","1980-02-28"
"109","Simone","Bruno","BRNSMN88H18Z251D","Via Leopardi, 104, 24052 Seriate (BG)","396570848","simone.bruno60@gmail.com","1988-06-18"
"110","Alessandro","Gallo","GLLLSS78T25K467A","Via Carducci, 40, 24082 Osio Sotto (BG)","353257939","alessandro.gallo80@gmail.com","1978-12-25"
"111","Antonio","Conti","CNTNTN82R14F571L","Via Cavour, 127, 24027 Treviglio (BG)","348697579","antonio.conti90@gmail.com","1982-10-14"
"112","Anna","Esposito","SPSNNX60H42U611C","Via Papa Giovanni XXIII, 38, 24020 Osio Sotto (BG)","385597966","anna.esposito38@gmail.com","1960-06-02"
"113","Andrea","Bruno","BRNNDR01B10R950E","Via Verdi, 130, 24052 Clusone (BG)","339874337","andrea.bruno29@gmail.com","2001-02-10"
"114","Giuseppe","Bianchi","BNCGSP57S27G099C","Via San Bernardino, 56, 24098 Clusone (BG)","362528293","giuseppe.bianchi09@gmail.com","1957-11-27"
"115","Anna","Greco","GRCNNX94S44O636P","Via San Bernardino, 130, 24095 Clusone (BG)","392772553","anna.greco47@gmail.com","1994-11-04"
"116","Alice","Russo","RSSLCX83P53W658B","Via Garibaldi, 85, 24022 Dalmine (BG)","392845500","alice.russo50@gmail.com","1983-09-13"
"117","Francesco","Russo","RSSFRN92D27Q041Y","Via Guglielmo d'Alzano, 36, 24068 Albino (BG)","347274346","francesco.russo28@gmail.com","1992-04-27"
"118","Giovanni","Fontana","FNTGVN70H18Y086J","Via Leopardi, 59, 24041 Bergamo (BG)","338508392","giovanni.fontana33@gmail.com","1970-06-18"
"119","Maria","Marino","MRNMRX57T57L214B","Via Garibaldi, 133, 24087 Treviglio (BG)","326223598","maria.marino30@gmail.com","1957-12-17"
"120","Martina","Mancini","MNCMRT65L64T674X","Via Leopardi, 19, 24030 Dalmine (BG)","376832587","martina.mancini38@gmail.com","1965-07-24"
"121","Luca","Fontana","FNTLCX97R31K860D","Via San Bernardino, 62, 24030 Seriate (BG)","347286662","luca.fontana42@gmail.com","1997-10-31"
"122","Valentina","Mancini","MNCVLN05A59D715Y","Via San Bernardino, 93, 24027 Stezzano (BG)","340651918","valentina.mancini70@gmail.com","2005-01-19"
"123","Antonio","Fontana","FNTNTN71D16A240D","Via Donizetti, 147, 24061 Bergamo (BG)","377038127","antonio.fontana45@gmail.com","1971-04-16"
"124","Christian","Russo","RSSCHR69S14X290Y","Via Crescenzi, 57, 24014 Stezzano (BG)","358645844","christian.russo83@gmail.com","1969-11-14"
"125","Valentina","Romano","RMNVLN78A68P665T","Via Papa Giovanni XXIII, 107, 24073 Stezzano (BG)","367347804","valentina.romano29@gmail.com","1978-01-28"
"126","Federico","Leone","LNXFDR80B22Z222U","Via Crescenzi, 7, 24071 Treviglio (BG)","344417707","federico.leone62@gmail.com","1980-02-22"
"127","Maria","Leone","LNXMRX59T44P101V","Via Roma, 120, 24055 Clusone (BG)","329263470","maria.leone09@gmail.com","1959-12-04"
"128","Andrea","Mancini","MNCNDR70E05S679K","Via San Bernardino, 39, 24068 Albino (BG)","333267360","andrea.mancini55@gmail.com","1970-05-05"
"129","Giuseppe","Ferrari","FRRGSP87M31T360I","Via Garibaldi, 101, 24087 Clusone (BG)","397251657","giuseppe.ferrari92@gmail.com","1987-08-31"
"130","Martina","De Luca","DLCMRT70D61K667C","Via Cavour, 106, 24049 Albino (BG)","332329606","martina.deluca71@gmail.com","1970-04-21"
"131","Anna","Colombo","CLMNNX93P51B997X","Via San Bernardino, 26, 24006 Albino (BG)","350775715","anna.colombo97@gmail.com","1993-09-11"
"132","Maria","Mancini","MNCMRX64R58C148C","Via Verdi, 11, 24068 Stezzano (BG)","377037693","maria.mancini54@gmail.com","1964-10-18"
"133","Elena","Fontana","FNTLNX79R51T820Z","Via Cavour, 97, 24095 Dalmine (BG)","354091325","elena.fontana74@gmail.com","1979-10-11"
"134","Lorenzo","Colombo","CLMLRN65L12L828D","Via Carducci, 55, 24046 Seriate (BG)","364405392","lorenzo.colombo01@gmail.com","1965-07-12"
"135","Maria","De Luca","DLCMRX93H48C480L","Via San Bernardino, 146, 24016 Clusone (BG)","390069924","maria.deluca60@gmail.com","1993-06-08"
"136","Maria","Bianchi","BNCMRX05B43L771Q","Via Crescenzi, 102, 24067 Dalmine (BG)","383957887","maria.bianchi40@gmail.com","2005-02-03"
"137","Elena","Rossi","RSSLNX94S56D194J","Via Carducci, 13, 24030 Dalmine (BG)","381299751","elena.rossi34@gmail.com","1994-11-16"
"138","Alessandro","Conti","CNTLSS65H12X566Q","Via Papa Giovanni XXIII, 25, 24094 Bergamo (BG)","353954898","alessandro.conti98@gmail.com","1965-06-12"
"139","Maria","Fontana","FNTMRX57E64A107I","Via Carducci, 138, 24001 Albino (BG)","359733639","maria.fontana54@gmail.com","1957-05-24"
"140","Alice","Colombo","CLMLCX74B65E179K","Via Guglielmo d'Alzano, 82, 24059 Seriate (BG)","382051924","alice.colombo37@gmail.com","1974-02-25"
"141","Marco","Rizzo","RZZMRC66C19Y688L","Via Roma, 83, 24001 Bergamo (BG)","346105355","marco.rizzo72@gmail.com","1966-03-19"
"142","Aurora","Conti","CNTRRX61L44H410N","Via Leopardi, 16, 24012 Stezzano (BG)","366603731","aurora.conti24@gmail.com","1961-07-04"
"143","Lorenzo","Mancini","MNCLRN60B04J557C","Viale Vittorio Emanuele II, 83, 24095 Stezzano (BG)","377949979","lorenzo.mancini62@gmail.com","1960-02-04"
"144","Vittoria","Rizzo","RZZVTT93R48A566G","Via Crescenzi, 90, 24001 Dalmine (BG)","344538333","vittoria.rizzo25@gmail.com","1993-10-08"
"145","Aurora","Gallo","GLLRRX54P56T549G","Via Palma il Vecchio, 94, 24098 Clusone (BG)","344285939","aurora.gallo43@gmail.com","1954-09-16"
"146","Christian","Esposito","SPSCHR91P11N385W","Via Leopardi, 19, 24052 Bergamo (BG)","320580333","christian.esposito19@gmail.com","1991-09-11"
"147","Greta","Fontana","FNTGRT62D57S084H","Via Verdi, 108, 24059 Stezzano (BG)","327810830","greta.fontana02@gmail.com","1962-04-17"
"148","Martina","Greco","GRCMRT66E53V080D","Via San Bernardino, 104, 24049 Treviglio (BG)","370328950","martina.greco52@gmail.com","1966-05-13"
"149","Martina","Rossi","RSSMRT03H48H429V","Via Palma il Vecchio, 17, 24094 Stezzano (BG)","352700176","martina.rossi79@gmail.com","2003-06-08"
"150","Christian","Leone","LNXCHR76B16Z356D","Viale Vittorio Emanuele II, 73, 24052 Bergamo (BG)","364490181","christian.leone57@gmail.com","1976-02-16"
"151","Martina","Caruso","CRSMRT53A43B262V","Viale Vittorio Emanuele II, 102, 24098 Clusone (BG)","380300699","martina.caruso18@gmail.com","1953-01-03"
"152","Riccardo","Greco","GRCRCC72E16V091S","Via Papa Giovanni XXIII, 122, 24052 Treviglio (BG)","362345328","riccardo.greco71@gmail.com","1972-05-16"
"153","Valentina","Colombo","CLMVLN94T50Z061D","Viale Vittorio Emanuele II, 45, 24082 Bergamo (BG)","375272805","valentina.colombo29@gmail.com","1994-12-10"
"154","Vittoria","Ferrari","FRRVTT81S67W550G","Via Crescenzi, 97, 24049 Seriate (BG)","380494046","vittoria.ferrari76@gmail.com","1981-11-27"
"155","Maria","Romano","RMNMRX59L41G290B","Via Donizetti, 51, 24040 Osio Sotto (BG)","340863367","maria.romano15@gmail.com","1959-07-01"
"156","Maria","Romano","RMNMRX89P45L976O","Via Carducci, 124, 24076 Clusone (BG)","374744098","maria.romano64@gmail.com","1989-09-05"
"157","Elena","Conti","CNTLNX67R62Y047Y","Via Cavour, 24, 24055 Treviglio (BG)","377766841","elena.conti96@gmail.com","1967-10-22"
"158","Simone","Mancini","MNCSMN68A08L965V","Via Leopardi, 49, 24039 Bergamo (BG)","358522448","simone.mancini08@gmail.com","1968-01-08"
"159","Giovanni","Costa","CSTGVN89H11A085Y","Via Cavour, 3, 24076 Seriate (BG)","396768307","giovanni.costa84@gmail.com","1989-06-11"
"160","Aurora","Ferrari","FRRRRX65A46G841H","Via Crescenzi, 90, 24076 Seriate (BG)","393476681","aurora.ferrari61@gmail.com","1965-01-06"
"161","Aurora","Russo","RSSRRX72H62X872M","Via Guglielmo d'Alzano, 138, 24046 Stezzano (BG)","373526241","aurora.russo20@gmail.com","1972-06-22"
"162","Marco","Greco","GRCMRC57R22U025Y","Via Verdi, 147, 24012 Albino (BG)","383568114","marco.greco07@gmail.com","1957-10-22"
"163","Riccardo","Costa","CSTRCC80D18H323E","Via Leopardi, 56, 24013 Albino (BG)","363195926","riccardo.costa15@gmail.com","1980-04-18"
"164","Davide","Fontana","FNTDVD01L29V793N","Via Garibaldi, 6, 24095 Clusone (BG)","350988353","davide.fontana38@gmail.com","2001-07-29"
"165","Greta","Ferrari","FRRGRT83C63P225E","Via Leopardi, 66, 24082 Bergamo (BG)","337301824","greta.ferrari59@gmail.com","1983-03-23"
"166","Anna","Ricci","RCCNNX81R45P341A","Via San Bernardino, 64, 24044 Treviglio (BG)","337374092","anna.ricci92@gmail.com","1981-10-05"
"167","Davide","Colombo","CLMDVD74S12A204Y","Via Carducci, 20, 24030 Treviglio (BG)","328501351","davide.colombo01@gmail.com","1974-11-12"
"168","Simone","Mancini","MNCSMN59T22Z409P","Via Giovanni Paolo II, 68, 24076 Clusone (BG)","395198929","simone.mancini71@gmail.com","1959-12-22"
"169","Vittoria","Mancini","MNCVTT74H63U311V","Via San Bernardino, 118, 24053 Osio Sotto (BG)","321801164","vittoria.mancini57@gmail.com","1974-06-23"
"170","Emma","Fontana","FNTMMX51S52L511L","Via San Bernardino, 115, 24027 Treviglio (BG)","333825534","emma.fontana49@gmail.com","1951-11-12"
"171","Sara","Esposito","SPSSRX84T61E446S","Via Roma, 65, 24096 Albino (BG)","386082213","sara.esposito26@gmail.com","1984-12-21"
"172","Greta","Mancini","MNCGRT86S52V232R","Via Roma, 76, 24001 Clusone (BG)","344340386","greta.mancini06@gmail.com","1986-11-12"
"173","Giulia","Rossi","RSSGLX00P67P066T","Via Carducci, 2, 24052 Treviglio (BG)","373214846","giulia.rossi94@gmail.com","2000-09-27"
"174","Aurora","Bruno","BRNRRX99S49R478E","Via Leopardi, 8, 24094 Albino (BG)","394361225","aurora.bruno43@gmail.com","1999-11-09"
"175","Giovanni","Colombo","CLMGVN02H22Z363S","Via Palma il Vecchio, 108, 24053 Seriate (BG)","384704059","giovanni.colombo19@gmail.com","2002-06-22"
"176","Lorenzo","Ricci","RCCLRN79T25A175F","Via Guglielmo d'Alzano, 112, 24091 Albino (BG)","351626801","lorenzo.ricci77@gmail.com","1979-12-25"
"177","Francesca","Ferrari","FRRFRN60M52I753H","Via Cavour, 71, 24096 Clusone (BG)","385377845","francesca.ferrari20@gmail.com","1960-08-12"
